geo,time,mean_years_in_school_men_15_to_24_years,is_forecasted
bhs,2014,12.62,False
bhs,2015,12.74,False
bhs,2016,12.867514920032429,True
bhs,2017,12.994814356661982,True
bhs,2018,13.1218986740272,True
bhs,2019,13.24876823565128,True
bhs,2020,13.375423404443108,True
bhs,2021,13.501864542698305,True
bhs,2022,13.628092012100259,True
bhs,2023,13.754106173721162,True
bhs,2024,13.87990738802304,True
bih,1970,5.12,False
bih,1971,5.23,False
bih,1972,5.33,False
bih,1973,5.44,False
bih,1974,5.55,False
bih,1975,5.66,False
bih,1976,5.77,False
bih,1977,5.88,False
bih,1978,5.99,False
bih,1979,6.11,False
bih,1980,6.22,False
bih,1981,6.34,False
bih,1982,6.45,False
bih,1983,6.57,False
bih,1984,6.69,False
bih,1985,6.81,False
bih,1986,6.93,False
bih,1987,7.06,False
bih,1988,7.18,False
bih,1989,7.31,False
bih,1990,7.43,False
bih,1991,7.56,False
bih,1992,7.69,False
bih,1993,7.82,False
bih,1994,7.95,False
bih,1995,8.08,False
bih,1996,8.22,False
bih,1997,8.36,False
bih,1998,8.5,False
bih,1999,8.64,False
